Ramevi;Wevi;Balagmo;Calatafimi;Medolla;Lagarina;Castana;
Tisto;Silas;Geraldin;Sterpeti;Filettole;Poncarale;Formignana;
Stratsa;Stratsan;Ravkala;Siracusa;Pietraroia;Gaiba;;
Virggola;Virggola;Strikkania;Crecchio;Alguer;Colugna;;
Sottosopral;sottosopral;Saccuti;Giuliana;Arzercavalli;Roverazza;Vigino;
Senzascogliere;Propezzano;Dumenza;Porcari;Felisio;Carassai;;
Piccofiume;Vignanello;Ciserns;Carpi;Amica;Mante;;
Tistoveste;Ceregnano;Arzano;Roccaraso;Pietracalcina;Turbigo;;
Dolcicolline;Palombaio;Sinopoli;Bertiolo;Monteu;Olfena;;
Merkkantia;Villammare;Acquafredda;Poggetello;Cadola;Giarole;Sghittosa;
Merkkani;Merkkani;Carzeto;Cagliari;Resina;Piasco;;
Pikksilia;Casaltone;Carbonara;Borassi;Caltacenza;Spali;;
Lucente;Lucente;Rincine;Pontecurone;Carinato;Stiappa;;
Meraviglia;Meraviglia;Lavaiano;Dicomano;Masobello;Castria;;
Barlezia;Barlezia;Gutieres;Buttapietra;Flamignano;Passopisciaro;Carmine;
Pragetto;Parigi;Molise;Breolungi;Cerveleri;Zevio;;
Pietrina;Pietrina;Comparni;Linzana;Iatrinoli;Piaca;;
Gatti;Summaga;Pioppi;Marzolara;Centrache;;;
Collionovastre;Collionovastre;Luras;Inglagna;Carbonare;Bosaro;Presenaio;
Grandistazza;Grandistazza;Cifelli;Roccaporena;Lappach;Carisasca;;
Argillabene;Argillabene;Gargazzone;Tromello;By;Teria;;
Beltempo;Balangero;Morosolo;Cenciara;Teodorano;Baria;;
Minierdisale;Minierdisale;Impruneta;Albignano;Paoli;Casamorcia;Poiano;
Kaduteblue;Bareto;Innichen;Chiavicone;Querciola;Olisi;;
Citsini;Citsini;Acerenza;Riramo;Patrica;Anigo;;
Necinta;Necinta;Corvella;Cervedo;Radicondoli;Lorsica;;
Encia;Cuggiono;Pescolla;Biandronno;Ghiffa;Olino;;
Prasinfio;Pescantina;Palazzuolo;Villafrati;Ragada;Braidi;Bardineto;Braz
Virco;Piamaggio;Castelverde;Virco;Chiusaforte;Ipplis;Pescomaggiore;
Kamaktos;Kamaktos;Bracedo;Vito;Sali;Serni;;
Kozalion;Moncapaglia;Felgueiluz;Evivo;Pola;Cenzia;;
Pallilaia;Chovia;Salasa;Averce;Logna;Cera;;
Porderaele;Porderaele;Covera;Peri;Arorvie;Vona;;
Gerin;Gerin;Ventoia;Cola;Cheria;Varia;Cuso;
Sanredonia;Sanredonia;Isemo;Pisto;Ceni;Bena;;
Lilongo;Lilongo;Pordi;Luno;Pala;Tano;;
Vacer;Vacer;Otras;Napua;Coli;Chalavia;Iglesa;
Valovira;Valovira;Cosa;Pano;Trine;Cuse;;
Santallon;Teragusa;Lana;Neza;Antorcia;Luccia;;
Cales;Pesarra;Pausa;Triestoia;Tova;Aleto;Cuna;
Ouruna;Oureledo;Antone;Seni;Cothraia;Ugias;Leso;
Toganes;Toganes;Carra;Poba;Giusoria;Onas;Prono;
Mules;Mules;Coso;Nova;Calto;Narna;;
Pietra;Kardikastro;Orlino;Pavia;Cerio;Keranghi;;
Draka;Draka;Fatirreja;Adrias;Spausa;Pisa;;
Mytiftherio;Mytiftherio;Siena;Tania;Norco;Setto;;
Stalcis;Stalcis;Coni;Taneo;Gento;Caso;Astori;Mazaci
Vavigo;Vavigo;Abranda;Aporcia;Pobia;Bielli;Selona;
Sassassina;Valobal;Tremo;Cesi;Rezza;Cella;;
Picersala;Picersala;Taria;Guadartos;Celli;Vieti;;
Ririm;Ririm;Toria;Pali;Pante;;;
Valpalos;Valpalos;Nissa;Trossa;Genta;Macia;;
Gafaja;Thessazi;Sena;Cero;Enzas;Veri;Molforl;
Sassareggio;Sassareggio;Imomona;Olizia;Covros;Salalona;;
Estaniche;Estaniche;Bragagoa;Ovas;Chasa;Tolen;;
Seisbon;Modirma;Odivendela;Ossecco;Chomis;Stavrouraia;;
Estrertaxo;Estrertaxo;Guacante;Lerno;Aleraele;Efkachni;;
Alzillon;Alzillon;Mazde;Spania;Caserpi;Meligyroi;;
Selona;Portile;Legafe;Narno;Legnaples;Flovia;;
Malalma;Malalma;Kamavos;Ranta;Viale;Syratonto;;
Agiaroupoli;Brasmo;Elefthendreia;Sima;Caniras;Colledica;;
Pynina;Pynina;Brinzaro;Aretta;Chacem;Chaxal;;
Rethyndri;Rethyndri;Breste;Pesca;Fuesa;Montetima;;
Modiggio;Modiggio;Trabasso;Inote;Fuenlaza;Saburosa;Sabutubal;
Rimindria;Rimindria;Marindra;Sana;Sevijon;Tarca;Guadalacete;Bava
Pracca;Pracca;Lirtaxo;Tana;Anasos;Tenellon;;
Guiga;Polirpia;Lleiba;Serto;Salalcis;Benivilla;Gelavega;
Licos;Licos;Aliron;Inas;Ptolerpia;Nafpastiada;;
Baleira;Baleira;Evolcis;Arene;Sento;Livaliada;;
Mostorona;Mostorona;Eryfni;Parmo;Taratone;Kifirdelio;Mofina;
Pontenea;Odivero;Agiadri;Mina;Scafarence;Barlelan;Mosia;
Madrimanet;Madrimanet;Altavento;Sandra;Gandovoa;Bolondisi;Rethyliro;
Starnes;Starnes;Castellarta;Crata;Tomento;Carranto;;
Kastomnos;Kastomnos;Cremocchia;Cese;Furante;Guimamaraes;;
Pallikaia;Pallikaia;Felgueimunde;Vorna;Ourellon;Sacandela;Palegento;
Vitetonto;Sabanada;Tondemara;Trosse;Sebarca;Sebugal;;
Sanrevia;Sanrevia;Benircon;Capio;Barceria;Alcaria;Foramo;Marildas
Trevirin;Trevirin;Eleumata;Ossas;Komokipoi;Tenerrol;;
Fabaca;Fabaca;Pesavento;Ariso;Kalylargos;Coloruna;;
Leinhel;Hodia;Bilieri;Mero;Vyropyrgos;Mytivala;;
Tarouxa;Tarouxa;Acelogna;Brendicci;Fiutonto;Patsi;Arteide;
Fecete;Budolid;Parerpa;Odivebal;Favoli;Alexavros;Grales;Penija
Bladolid;Bladolid;Lamedia;Maca;Faetina;Famola;Lleirm;
Tarrajoz;Efkaropi;Esmorro;Cali;Pelva;Verovorno;;
Polirissa;Blaron;Albazde;Terni;Baleirtaxo;Scafaggio;;
Glyktos;Chiomaria;Guadalbao;Antolza;Mealbom;Reres;Rebolos;
Kifada;Kifada;Lunse;Aras;Zagrono;Penibos;Goumao;
